id	height(cm)	weight(kg)
530	192	92
531	163	64
532	139	73
533	182	82
534	148	68
535	121	50
536	156	65
537	111	90
538	166	42
539	143	45
540	146	91
541	117	95
542	182	41
543	141	53
544	132	98
545	144	104
546	182	89
547	132	59
548	142	46
549	160	67
550	155	66
551	162	99
552	181	45
553	153	63
554	156	103
555	114	67
556	159	77
557	188	65
558	187	90
559	135	67
560	195	92
561	118	65
562	129	91
563	130	66
564	178	80
565	164	94
566	173	93
567	110	69
568	176	100
569	164	93
570	131	84
571	128	65
572	178	104
573	137	99
574	192	60
575	128	55
576	132	93
577	156	82
578	187	93
579	117	100
580	196	82
581	181	96
582	119	73
583	117	96
584	132	55
585	164	45
586	131	100
587	138	41
588	173	78
589	186	41
590	129	42
591	119	103
592	123	41
593	181	57
594	190	68
595	154	90
596	139	41
597	131	92
598	194	81
599	154	58
600	142	78
601	156	94
602	176	102
603	161	50
604	193	44
605	168	81
606	149	104
607	122	82
608	193	69
609	136	84
610	158	77
611	154	104
612	172	68
613	137	65
614	149	67
615	188	69
616	179	75
617	131	69
618	184	45
619	181	57
620	183	73
621	189	70
622	190	60
623	141	68
624	125	55
625	147	79
626	115	51
627	122	41
628	114	55
629	114	83
630	128	50
631	136	77
632	156	104
633	153	80
634	191	55
635	167	56
636	134	53
637	175	48
638	139	45
639	184	49
640	125	99
641	133	60
642	170	55
643	163	103
644	112	52
645	194	89
646	148	54
647	181	66
648	111	64
649	114	74
650	148	92
651	177	49
652	158	68
653	176	40
654	189	95
655	158	100
656	170	83
657	119	82
658	148	72
659	185	68
660	162	101
661	182	56
662	114	51
663	136	63
664	141	40
665	145	71
666	181	104
667	127	59
668	163	77
669	172	62
670	125	92
671	126	76
672	175	64
673	183	83
674	119	82
675	126	62
676	116	79
677	163	46
678	151	93
679	119	100
680	161	50
681	124	52
682	175	64
683	165	104
684	121	64
685	141	97
686	195	57
687	173	88
688	187	69
689	166	57
690	152	44
691	196	90
692	125	53
693	165	70
694	198	47
695	157	104
696	132	104
697	116	61
698	111	53
699	142	83
700	188	53
701	119	86
702	155	79
703	164	56
704	173	79
705	178	44
706	140	75
707	116	60
708	194	94
709	166	62
710	171	42
711	112	59
712	171	57
713	187	58
714	121	74
715	169	65
716	140	85
717	127	57
718	125	71
719	121	66
720	146	81
721	150	50
722	168	53
723	117	48
724	159	57
725	173	46
726	134	41
727	117	69
728	136	88
729	178	43
730	189	47
731	141	94
732	136	104
733	191	43
734	176	56
735	194	45
736	142	62
737	134	73
738	197	52
739	178	61
740	111	55
741	119	102
742	151	59
743	126	86
744	124	48
745	121	46
746	197	46
747	137	82
748	121	52
749	131	79
750	183	80
751	178	54
752	123	55
753	162	66
754	153	79
755	190	65
756	131	98
757	151	77
758	116	46
759	153	95
760	142	82
761	162	51
762	136	79
763	145	86
764	148	46
765	149	80
766	111	86
767	168	82
768	176	80
769	193	97
770	136	82
771	183	43
772	123	42
773	146	50
774	160	54
775	198	92
776	184	75
777	182	50
778	113	56
779	167	99
780	178	82
781	161	48
782	163	86
783	137	63
784	185	64
785	171	75
786	130	43
787	149	91
788	183	62
789	159	53
790	199	103
791	190	50
792	173	64
793	112	78
794	135	83
795	160	65
796	150	68
797	130	93
798	138	82
799	179	79
800	157	53
801	121	56
802	193	80
803	144	53
804	165	44
805	130	72
806	144	45
807	141	86
808	116	90
809	191	60
810	118	73
811	181	93
812	169	90
813	152	91
814	182	47
815	123	63
816	165	41
817	129	59
818	153	74
819	130	98
820	132	83
821	198	55
822	191	79
823	138	76
824	143	64
825	148	83
826	143	66
827	160	66
828	175	102
829	173	85
830	136	99
831	113	89
832	133	88
833	112	95
834	160	83
835	137	82
836	158	47
837	191	81
838	130	104
839	176	55
840	130	103
841	144	46
842	133	51
843	127	56
844	150	83
845	160	46
846	149	64
847	190	77
848	116	75
849	161	42
850	113	79
851	147	73
852	122	61
853	143	47
854	138	67
855	112	47
856	138	67
857	143	68
858	186	42
859	157	97
860	164	82
861	127	75
862	118	81
863	192	48
864	184	64
865	191	96
866	183	86
867	119	74
868	158	45
869	117	89
870	147	62
871	144	58
872	142	80
873	146	87
874	165	54
875	188	66
876	143	70
877	146	56
878	172	75
879	172	82
880	182	54
881	167	85
882	180	46
883	175	46
884	124	47
885	171	77
886	186	42
887	113	53
888	180	101
889	162	46
890	115	66
891	153	50
892	128	74
893	165	92
894	148	62
895	159	92
896	112	90
897	197	47
898	187	79
899	154	62
900	185	66
901	121	52
902	118	76
903	132	77
904	141	101
905	197	59
906	196	62
907	135	41
908	149	78
909	147	44
910	156	80
911	163	70
912	171	81
913	159	54
914	177	86
915	171	41
916	128	80
917	125	41
918	113	96
919	188	58
920	139	99
921	122	80
922	111	57
923	147	61
924	133	47
925	157	51
926	126	54
927	126	43
928	135	72
929	158	97
930	191	60
931	175	51
932	198	70
933	122	101
934	127	104
935	131	68
936	127	43
937	158	63
938	120	98
939	125	63
940	196	90
941	129	57
942	171	90
943	127	87
944	182	71
945	160	46
946	174	92
947	155	74
948	178	57
949	170	54
950	188	60
951	148	63
952	124	64
953	197	105
954	197	92
955	119	80
956	180	86
957	158	68
958	175	103
959	112	78
960	134	77
961	175	46
962	132	87
963	127	44
964	127	56
965	143	100
966	195	77
967	192	47
968	188	52
969	140	58
970	140	78
971	191	65
972	163	47
973	130	61
974	138	100
975	150	88
976	113	48
977	190	89
978	123	100
979	157	63
980	157	94
981	129	51
982	182	72
983	185	46
984	150	51
985	118	71
986	141	75
987	156	48
988	195	73
989	159	91
990	143	95
991	114	97
992	138	59
993	149	56
994	147	46
995	178	103
996	186	72
997	120	82
998	130	54
999	157	92
1000	159	56
1001	167	91
1002	170	71
1003	151	94
1004	172	44
1005	168	100
1006	141	80
1007	116	42
1008	111	91
1009	176	78
1010	192	45
1011	166	81
1012	135	62
1013	194	94
1014	164	40
1015	130	58
1016	137	41
1017	176	96
1018	157	62
1019	186	89
1020	168	83
1021	130	44
1022	197	97
1023	145	105
1024	157	69
1025	196	102
1026	176	66
1027	136	59
1028	139	78
1029	195	80
1030	115	69
1031	165	54
1032	114	94
1033	197	46
1034	145	42
1035	143	88
1036	131	99
1037	142	88
1038	138	79
1039	196	99
1040	193	71
1041	149	96
1042	190	103
1043	140	104
1044	122	58
1045	176	104
1046	176	80
1047	185	90
1048	122	104
1049	177	96
1050	156	51
1051	149	101
1052	120	55
1053	116	103
1054	192	103
1055	139	87
1056	182	42
1057	164	66
1058	192	68
1059	148	70
1060	117	57
1061	145	102
1062	134	57
1063	142	99
1064	123	79
1065	164	73
1066	122	102
1067	191	82
1068	167	93
1069	128	47
1070	188	75
1071	163	40
1072	114	53
1073	123	75
1074	114	44
1075	138	75
1076	185	101
1077	133	67
1078	162	74
1079	129	74
1080	170	83
1081	160	88
1082	134	81
1083	115	82
1084	144	57
1085	141	67
1086	144	60
1087	145	86
1088	113	40
1089	119	104
1090	149	89
1091	161	47
1092	134	85
1093	199	50
1094	129	104
1095	188	49
1096	110	102
1097	191	73
1098	190	47
1099	155	78
1100	130	49
1101	141	47
1102	154	46
1103	167	73
1104	152	55
1105	172	51
1106	171	47
1107	181	80
1108	118	85
1109	180	61
1110	161	89
1111	177	90
1112	174	57
1113	167	81
1114	153	79
1115	171	85
1116	195	79
1117	141	41
1118	185	60
1119	138	89
1120	148	95
1121	150	87
1122	138	91
1123	165	91
1124	192	68
1125	149	76
1126	193	74
1127	156	82
1128	169	88
1129	195	41
1130	124	48
1131	140	56
1132	159	92
1133	187	74
1134	156	61
1135	148	72
1136	185	82
1137	199	76
1138	178	85
1139	121	48
1140	162	90
1141	136	85
1142	198	103
1143	141	59
1144	145	105
1145	148	53
1146	178	88
1147	152	87
1148	184	64
1149	113	48
1150	118	49
1151	195	80
1152	159	64
1153	131	95
1154	112	93
1155	157	77
1156	171	82
1157	196	70
1158	195	84
1159	177	40
1160	166	65
1161	127	75
1162	135	60
1163	165	103
1164	172	42
1165	168	71
1166	119	97
1167	128	96
1168	144	57
1169	140	63
1170	164	65
1171	122	48
1172	128	76
1173	127	76
1174	193	77
1175	118	77
1176	145	99
1177	151	88
1178	118	93
1179	145	100
1180	167	43
1181	150	72
1182	194	105
1183	188	44
1184	199	85
1185	174	96
1186	119	76
1187	165	93
1188	173	60
1189	136	103
1190	178	92
1191	134	89
1192	124	80
1193	136	81
1194	173	51
1195	198	61
1196	165	68
1197	170	72
1198	115	47
1199	179	57
1200	178	105
1201	143	92
1202	186	51
1203	192	41
1204	165	77
1205	181	71
1206	183	98
1207	115	51
1208	132	101
1209	165	70
1210	190	100
1211	118	69
1212	147	92
1213	148	46
1214	111	67
1215	188	70
1216	149	92
1217	163	63
1218	190	83
1219	133	89
1220	127	101
1221	179	101
1222	147	100
1223	121	87
1224	191	53
1225	193	73
1226	114	48
1227	175	99
1228	140	45
1229	169	72
1230	133	65
1231	162	88
1232	165	85
1233	111	76
1234	185	44
1235	151	46
1236	117	91
1237	170	93
1238	131	57
1239	133	55
1240	197	41
1241	126	84
1242	137	103
1243	117	96
1244	134	45
1245	154	41
1246	167	77
1247	161	71
1248	186	61
1249	171	48
1250	198	48
1251	189	80
1252	119	54
1253	198	81
1254	162	59
1255	156	82
1256	154	101
1257	139	68
1258	170	103
1259	111	53
1260	173	85
1261	144	82
1262	165	44
1263	183	70
1264	131	89
1265	152	74
1266	189	69
1267	166	48
1268	138	98
1269	149	88
1270	111	100
1271	186	89
1272	136	82
1273	178	72
1274	184	95
1275	111	62
1276	174	60
1277	160	53
1278	159	49
1279	195	50
1280	176	52
1281	164	44
1282	189	99
1283	132	104
1284	116	82
1285	196	87
1286	149	102
1287	145	60
1288	195	66
1289	153	45
1290	189	92
1291	117	90
1292	148	71
1293	160	55
1294	112	103
1295	156	105
1296	154	92
1297	119	81
1298	192	57
1299	168	88
1300	147	91
1301	188	69
1302	133	84
1303	157	92
1304	158	64
1305	159	85
1306	156	41
1307	175	74
1308	173	63
1309	188	77
1310	181	52
1311	139	103
1312	115	56
1313	130	101
1314	129	65
1315	161	51
1316	157	54
1317	168	68
1318	162	50
1319	134	104
1320	161	46
1321	149	67
1322	174	47
1323	117	69
1324	131	97
1325	132	54
1326	191	64
1327	186	46
1328	143	44
1329	144	60
1330	191	53
1331	175	42
1332	120	64
1333	160	88
1334	192	93
1335	126	42
1336	177	84
1337	156	87
1338	134	95
1339	134	58
1340	159	65
1341	196	45
1342	199	71
1343	135	93
1344	162	43
1345	118	101
1346	163	86
1347	165	91
1348	130	53
1349	136	74
1350	160	67
1351	138	48
1352	120	57
1353	118	67
1354	142	93
1355	138	57
1356	186	91
1357	187	75
1358	143	64
1359	130	68
1360	143	55
1361	113	88
1362	178	53
1363	138	47
1364	169	51
1365	193	43
1366	179	44
1367	125	74
1368	159	52
1369	164	74
1370	139	87
1371	175	77
1372	179	84
1373	156	47
1374	163	98
1375	180	76
1376	118	62
1377	134	57
1378	195	45
1379	178	73
1380	135	58
1381	166	100
1382	150	46
1383	162	56
1384	137	41
1385	182	89
1386	197	62
1387	134	67
1388	158	43
1389	120	82
1390	119	67
1391	186	61
1392	156	92
1393	133	95
1394	191	86
1395	139	80
1396	169	69
1397	187	85
1398	176	100
1399	148	83
1400	111	80
1401	118	88
1402	119	49
1403	182	41
1404	172	96
1405	113	95
1406	176	44
1407	155	103
1408	190	98
1409	182	52
1410	153	60
1411	115	43
1412	175	71
1413	179	72
1414	199	56
1415	162	50
1416	149	96
1417	137	63
1418	189	67
1419	197	93
1420	147	99
1421	182	83
1422	156	55
1423	174	100
1424	153	91
1425	158	77
1426	127	91
1427	185	50
1428	167	53
1429	124	48
1430	178	86
1431	183	95
1432	182	60
1433	197	84
1434	130	65
1435	190	96
1436	140	88
1437	185	53
1438	115	93
1439	195	87
1440	142	69
1441	118	50
1442	146	99
1443	179	105
1444	161	43
1445	161	84
1446	124	97
1447	149	100
1448	198	49
1449	169	99
1450	172	98
1451	140	89
1452	138	47
1453	185	41
1454	179	70
1455	116	52
1456	187	60
1457	146	43
1458	199	93
1459	185	97
1460	153	42
1461	188	60
1462	136	54
1463	123	67
1464	155	96
1465	187	69
1466	180	78
1467	121	75
1468	168	59
1469	137	99
1470	171	51
1471	152	101
1472	167	43
1473	172	43
1474	148	88
1475	187	53
1476	123	61
1477	142	67
1478	180	102
1479	153	41
1480	135	51
1481	124	68
1482	123	89
1483	116	71
1484	160	68
1485	117	99
1486	123	76
1487	193	74
1488	124	66
1489	124	61
1490	116	42
1491	152	75
1492	119	92
1493	116	57
1494	151	81
1495	195	55
1496	174	98
1497	144	88
1498	170	65
1499	132	62
1500	174	68
1501	115	49
1502	194	46
1503	190	104
1504	162	88
1505	158	49
1506	168	44
1507	132	83
1508	168	64
1509	173	63
1510	125	98
1511	119	81
1512	177	82
1513	141	85
1514	145	69
1515	136	42
1516	176	54
1517	146	44
1518	141	55
1519	147	97
1520	184	87
1521	127	95
1522	140	70
1523	196	92
1524	171	41
1525	183	62
1526	147	58
1527	145	68
1528	164	89
1529	124	75
1530	130	64
1531	174	51
1532	199	66
1533	182	96
1534	124	56
1535	142	77
1536	140	43
1537	168	70
1538	177	71
1539	156	62
1540	184	54
1541	110	95
1542	191	48
1543	165	83
1544	152	71
1545	189	83
1546	148	44
1547	177	51
1548	120	69
1549	183	100
1550	145	62
1551	161	80
1552	144	62
1553	151	40
1554	142	49
1555	124	41
1556	129	46
1557	136	98
1558	172	46
1559	197	85
1560	173	76
1561	179	57
1562	176	62
1563	129	92
1564	120	45
1565	125	60
1566	151	66
1567	185	59
1568	180	85
1569	178	99
1570	133	88
1571	188	52
1572	153	102
1573	139	85
1574	190	102
1575	165	44
1576	177	98
1577	162	51
1578	130	85
1579	174	94
1580	187	98
1581	151	72
1582	177	92
1583	170	81
1584	162	51
1585	189	69
1586	179	93
1587	116	53
1588	143	64
1589	181	102
1590	131	57
1591	175	63
1592	180	103
1593	186	53
1594	169	78
1595	137	73
1596	127	77
1597	137	65
1598	148	99
1599	117	53
1600	163	61
1601	113	86
1602	152	49
1603	172	45
1604	194	76
1605	134	57
1606	126	65
1607	175	42
1608	127	61
1609	134	98
1610	142	40
1611	128	95
1612	123	83
1613	168	41
1614	159	93
1615	174	71
1616	155	40
1617	143	80
1618	166	93
1619	117	67
1620	126	105
1621	192	65
1622	197	76
1623	134	68
1624	153	52
1625	114	103
1626	125	90
1627	165	63
1628	160	67
1629	188	44
1630	189	65
1631	161	90
1632	176	85
1633	138	58
1634	113	66
1635	143	90
1636	179	72
1637	159	83
1638	151	73
1639	172	72
1640	118	90
1641	123	97
1642	124	56
1643	137	85
1644	128	70
1645	174	76
1646	136	86
1647	169	84
1648	157	53
1649	167	75
1650	188	102
1651	170	103
1652	198	91
1653	118	48
1654	189	43
1655	138	64
1656	185	69
1657	118	57
1658	157	102
1659	151	102
1660	185	47
1661	194	102
1662	151	104
1663	173	104
1664	126	58
1665	134	99
1666	125	46
1667	167	95
1668	142	72
1669	137	67
1670	142	67
1671	140	91
1672	150	69
1673	162	103
1674	143	52
1675	173	81
1676	182	47
1677	125	100
1678	154	72
1679	151	41
1680	152	77
1681	184	52
1682	144	53
1683	185	55
1684	188	74
1685	188	75
1686	162	85
1687	123	41
1688	195	66
1689	148	41
1690	125	47
1691	140	48
1692	157	94
1693	172	69
1694	179	43
1695	122	67
1696	140	58
1697	194	57
1698	118	61
1699	167	63
1700	150	87
1701	130	100
1702	126	55
1703	126	54
1704	150	74
1705	164	72
1706	141	42
1707	113	45
1708	183	99
1709	174	93
1710	118	90
1711	194	42
1712	163	66
1713	172	91
1714	130	68
1715	154	94
1716	157	49
1717	159	78
1718	125	43
1719	138	100
1720	199	41
1721	180	71
1722	125	98
1723	149	72
1724	170	52
1725	122	46
1726	114	93
1727	123	64
1728	124	102
1729	154	66
1730	177	70
1731	192	72
1732	189	50
1733	177	72
1734	162	77
1735	164	52
1736	180	103
1737	174	46
1738	157	103
1739	169	47
1740	113	63
1741	175	43
1742	167	48
1743	159	97
1744	152	99
1745	128	82
1746	127	41
1747	139	85
1748	126	84
1749	194	83
1750	154	78
1751	175	67
1752	146	45
1753	115	52
1754	161	70
1755	158	42
1756	115	41
1757	182	86
1758	147	52
1759	178	82
1760	181	76
1761	193	104
1762	118	56
1763	148	66
1764	194	42
1765	136	87
1766	183	56
1767	137	48
1768	137	103
1769	132	90
1770	164	94
1771	135	96
1772	191	83
1773	130	81
1774	131	75
1775	169	99
1776	119	86
1777	179	78
1778	164	84
1779	191	55
1780	128	95
1781	153	86
1782	135	42
1783	153	88
1784	185	69
1785	167	46
1786	133	62
1787	140	67
1788	167	66
1789	140	65
1790	145	59
1791	122	101
1792	167	96
1793	120	102
1794	116	96
1795	111	64
1796	134	99
1797	199	47
1798	111	104
1799	137	49
1800	196	46
1801	170	65
1802	173	81
1803	121	79
1804	116	55
1805	188	97
1806	177	98
1807	121	101
1808	183	90
1809	133	105
1810	140	46
1811	120	75
1812	175	77
1813	148	100
1814	133	86
1815	118	44
1816	156	55
1817	189	47
1818	141	40
1819	176	96
1820	127	69
1821	192	66
1822	136	62
1823	162	61
1824	133	51
1825	125	87
1826	177	78
1827	148	57
1828	178	91
1829	180	87
1830	182	63
1831	153	99
1832	155	86
1833	184	61
1834	128	100
1835	176	66
1836	128	102
1837	182	84
1838	144	64
1839	195	83
1840	138	47
1841	126	51
1842	149	95
1843	175	61
1844	132	100
1845	147	76
1846	179	86
1847	186	66
1848	126	99
1849	153	95
1850	173	58
1851	113	80
1852	145	66
1853	193	73
1854	178	40
1855	197	94
1856	126	101
1857	183	42
1858	143	87
1859	190	55
1860	171	92
1861	162	40
1862	189	86
1863	134	72
1864	121	56
1865	135	57
1866	128	89
1867	173	92
1868	194	62
1869	137	70
1870	142	82
1871	190	81
1872	152	44
1873	121	66
1874	120	95
1875	183	68
1876	113	90
1877	115	62
1878	161	63
1879	182	57
1880	157	69
1881	165	79
1882	115	67
1883	187	49
1884	152	86
1885	120	83
1886	118	42
1887	166	66
1888	146	58
1889	166	105
1890	140	74
1891	159	75
1892	177	93
1893	111	91
1894	117	60
1895	173	89
1896	194	74
1897	186	47
1898	163	101
1899	188	85
1900	153	43
1901	122	49
1902	117	96
1903	184	88
1904	133	61
1905	169	86
1906	142	98
1907	136	51
1908	152	84
1909	154	58
1910	149	47
1911	191	68
1912	139	54
1913	140	98
1914	134	85
1915	163	81
1916	165	88
1917	188	83
1918	116	64
1919	116	57
1920	130	88
1921	182	56
1922	168	51
1923	132	66
1924	147	87
1925	190	79
1926	141	100
1927	147	84
1928	138	54
1929	133	82
1930	172	67
1931	194	78
1932	143	68
1933	127	43
1934	191	44
1935	190	64
1936	191	91
1937	166	87
1938	151	66
1939	140	61
1940	173	93
1941	131	64
1942	139	78
1943	160	61
1944	150	64
1945	113	71
1946	168	97
1947	181	78
1948	115	74
1949	183	57
1950	162	99
1951	191	86
1952	134	101
1953	185	40
1954	126	48
1955	120	104
1956	114	77
1957	135	53
1958	195	65
1959	161	87
1960	126	81
1961	114	62
1962	182	87
1963	155	74
1964	192	85
1965	166	103
1966	140	43
1967	169	88
1968	160	92
1969	154	41
1970	118	91
1971	152	100
1972	193	100
1973	169	88
1974	183	70
1975	169	54
1976	143	77
1977	189	84
1978	183	84
1979	190	59
1980	176	57
1981	139	102
1982	146	97
1983	159	53
1984	139	43
1985	164	100
1986	192	44
1987	139	91
1988	114	92
1989	163	57
1990	139	83
1991	130	58
1992	126	47
1993	132	82
1994	192	72
1995	124	79
1996	155	44
1997	137	103
1998	131	49
1999	115	81
2000	174	73
2001	110	97
2002	138	64
2003	122	57
2004	191	87
2005	188	72
2006	182	100
2007	138	81
2008	177	76
2009	125	62
2010	141	91
2011	132	54
2012	165	56
2013	154	95
2014	150	44
2015	160	76
2016	173	87
2017	116	79
2018	112	83
2019	127	58
2020	147	59
2021	167	84
2022	164	76
2023	178	42
2024	137	58
2025	145	84
2026	151	58
2027	170	81
2028	191	79
2029	198	73
2030	173	69
2031	198	71
2032	137	89
2033	196	43
2034	122	61
2035	128	78
2036	168	94
2037	163	62
2038	191	77
2039	112	84
2040	138	94
2041	195	61
2042	137	90
2043	133	46
2044	159	52
2045	180	95
2046	160	91
2047	175	72
2048	126	85
2049	130	68
2050	125	73
2051	155	81
2052	189	61
2053	185	60
2054	178	46
2055	171	58
2056	148	51
2057	137	54
2058	190	68
2059	181	54
2060	172	44
2061	194	50
2062	137	71
2063	187	82
2064	195	70
2065	169	83
2066	124	101
2067	176	95
2068	175	78
2069	165	70
2070	170	91
2071	140	47
2072	153	100
2073	187	80
2074	140	61
2075	120	63
2076	197	104
2077	176	88
2078	140	101
2079	191	104
2080	185	72
2081	158	75
2082	173	86
2083	175	56
2084	157	99
2085	190	79
2086	152	61
2087	110	92
2088	126	70
2089	161	44
2090	133	85
2091	163	71
2092	168	88
2093	129	48
2094	196	90
2095	145	57
2096	145	45
2097	178	74
2098	135	89
2099	151	99
2100	179	73
2101	191	79
2102	196	92
2103	111	40
2104	119	52
2105	194	50
2106	179	67
2107	170	63
2108	146	78
2109	164	67
2110	182	45
2111	183	72
2112	185	66
2113	171	94
2114	184	74
2115	169	53
2116	164	101
2117	187	102
2118	168	91
2119	137	75
2120	192	44
2121	123	61
2122	165	78
2123	164	51
2124	143	85
2125	123	53
2126	125	88
2127	166	98
2128	196	73
2129	139	42
2130	141	100
2131	118	100
2132	196	62
2133	195	53
2134	117	102
2135	177	100
2136	193	104
2137	114	50
2138	133	84
